"Age (years b2k)","d18O GISP2 (‰)","Age BP (SEAD)"
26850,-40.88,26800
26850,-40.78,26800
26900,-40.78,26850
26900,-39.71,26850
26950,-39.71,26900
26950,-39.77,26900
27000,-39.77,26950
27000,-40.77,26950
27050,-40.77,27000
27050,-41.76,27000
27100,-41.76,27050
27100,-40.5,27050
27150,-40.5,27100
27150,-40.19,27100
27200,-40.19,27150
27200,-40.13,27150
27250,-40.13,27200
27250,-41.23,27200
27300,-41.23,27250
27300,-41.09,27250
27350,-41.09,27300
27350,-40.67,27300
27400,-40.67,27350
27400,-41.65,27350
27450,-41.65,27400
27450,-41.76,27400
27500,-41.76,27450
27500,"NaN",27450
27550,"NaN",27500
27550,"NaN",27500
27600,"NaN",27550
27600,-38.27,27550
27650,-38.27,27600
27650,-38.12,27600
27700,-38.12,27650
27700,-37.29,27650
27750,-37.29,27700
27750,-38.75,27700
27800,-38.75,27750
27800,-40.85,27750
27850,-40.85,27800
27850,-41.09,27800
27900,-41.09,27850
27900,-40.16,27850
27950,-40.16,27900
27950,-41.87,27900
28000,-41.87,27950
28000,-42.13,27950
28050,-42.13,28000
28050,-41.74,28000
28100,-41.74,28050
28100,-39.94,28050
28150,-39.94,28100
28150,-41.43,28100
28200,-41.43,28150
28200,-41.87,28150
28250,-41.87,28200
28250,-41.47,28200
28300,-41.47,28250
28300,-41.93,28250
28350,-41.93,28300
28350,-40.88,28300
28400,-40.88,28350
28400,-42.01,28350
28450,-42.01,28400
28450,-41.9,28400
28500,-41.9,28450
28500,-40.95,28450
28550,-40.95,28500
28550,-41.5,28500
28600,-41.5,28550
28600,-39.1,28550
28650,-39.1,28600
28650,-38.5,28600
28700,-38.5,28650
28700,-38.34,28650
28750,-38.34,28700
28750,-38.34,28700
28800,-38.34,28750
28800,-37.63,28750
28850,-37.63,28800
28850,-38.81,28800
28900,-38.81,28850
28900,-40.59,28850
28950,-40.59,28900
28950,-40.2,28900
29000,-40.2,28950
29000,-41.59,28950
29050,-41.59,29000
29050,-41.89,29000
29100,-41.89,29050
29100,-42.01,29050
29150,-42.01,29100
29150,-42.04,29100
29200,-42.04,29150
29200,-40.41,29150
29250,-40.41,29200
29250,-41.12,29200
29300,-41.12,29250
29300,-42.48,29250
29350,-42.48,29300
29350,-41.84,29300
29400,-41.84,29350
29400,-41,29350
29450,-41,29400
29450,-41.99,29400
29500,-41.99,29450
29500,-41.31,29450
29550,-41.31,29500
29550,-43.08,29500
29600,-43.08,29550
29600,-43.02,29550
29650,-43.02,29600
29650,-43.01,29600
29700,-43.01,29650
29700,-42.59,29650
29750,-42.59,29700
29750,-41.52,29700
29800,-41.52,29750
29800,-41.63,29750
29850,-41.63,29800
29850,-42.56,29800
29900,-42.56,29850
29900,-42.24,29850
29950,-42.24,29900
29950,-42.91,29900
30000,-42.91,29950
30000,-42.49,29950
30050,-42.49,30000
30050,-42.73,30000
30100,-42.73,30050
30100,-42.38,30050
30150,-42.38,30100
30150,-42.45,30100
30200,-42.45,30150
30200,-42.61,30150
30250,-42.61,30200
30250,-43.01,30200
30300,-43.01,30250
30300,-42.27,30250
30350,-42.27,30300
30350,-41.54,30300
30400,-41.54,30350
30400,-41.84,30350
30450,-41.84,30400
30450,-41.15,30400
30500,-41.15,30450
30500,-41.51,30450
30550,-41.51,30500
30550,-42.77,30500
30600,-42.77,30550
30600,-41.99,30550
30650,-41.99,30600
30650,-42.05,30600
30700,-42.05,30650
30700,-41.11,30650
30750,-41.11,30700
