sample_identifier_short,physical_sample_id,sample_identifier,latitude_dd,longitude_dd,sampling_context,Age_BP_From,Age_BP_To,region
COUN000274|1218,1218,Rowlands Track|COUN000274|T|1218,51.146667,-2.7877777,Stratigraphic sequence,4968,4450,Nor
COUN000279|1279,1279,Runnymede 1|COUN000279|S1|1279,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1280,1280,Runnymede 1|COUN000279|S2|1280,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1281,1281,Runnymede 1|COUN000279|S3|1281,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1282,1282,Runnymede 1|COUN000279|S4|1282,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1283,1283,Runnymede 1|COUN000279|S5|1283,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1284,1284,Runnymede 1|COUN000279|S6|1284,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1285,1285,Runnymede 1|COUN000279|S7|1285,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1286,1286,Runnymede 1|COUN000279|S8|1286,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1287,1287,Runnymede 1|COUN000279|S9|1287,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1288,1288,Runnymede 1|COUN000279|S10|1288,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1289,1289,Runnymede 1|COUN000279|S11|1289,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1290,1290,Runnymede 1|COUN000279|S12|1290,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1291,1291,Runnymede 1|COUN000279|S13|1291,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1292,1292,Runnymede 1|COUN000279|S14|1292,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1293,1293,Runnymede 1|COUN000279|L41|1293,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000279|1294,1294,Runnymede 1|COUN000279|L40|1294,51.43611,-0.53694445,Stratigraphic sequence,5449,3949,Nor
COUN000288|1312,1312,Samnan|COUN000288|S1|1312,59.90505,17.631268,Stratigraphic sequence,400,0,Nor
COUN000288|1313,1313,Samnan|COUN000288|S2|1313,59.90505,17.631268,Stratigraphic sequence,400,0,Nor
COUN000288|1314,1314,Samnan|COUN000288|S3|1314,59.90505,17.631268,Stratigraphic sequence,400,0,Nor
COUN000288|1315,1315,Samnan|COUN000288|S4|1315,59.90505,17.631268,Stratigraphic sequence,400,0,Nor
COUN000297|1326,1326,Shortalstown|COUN000297|S2|1326,52.366665,-6.5,Stratigraphic sequence,14826,13588,Nor
COUN000321|1481,1481,Stourport|COUN000321|Bulk|1481,52.325,-2.2666667,Stratigraphic sequence,1855,1554,Nor
COUN000321|1482,1482,Stourport|COUN000321|Other|1482,52.325,-2.2666667,Stratigraphic sequence,1907,1540,Nor
COUN000337|1533,1533,Tinney's Brushwood|COUN000337|TR|1533,51.13972,-2.7602777,Stratigraphic sequence,3391,2883,Nor
COUN000341|1559,1559,Torrie Borehole|COUN000341|S2|1559,56.218056,-4.1994443,Stratigraphic sequence,15448,14922,Nor
COUN000351|1592,1592,Usselo|COUN000351|S2|1592,52.2,6.8166666,Stratigraphic sequence,16105,14538,Nor
COUN000356|1619,1619,West Bromwich|COUN000356|A|1619,52.514168,-1.9763889,Stratigraphic sequence,14864,13760,Nor
COUN000356|1620,1620,West Bromwich|COUN000356|B|1620,52.514168,-1.9763889,Stratigraphic sequence,14921,13760,Nor
COUN000356|1621,1621,West Bromwich|COUN000356|C|1621,52.514168,-1.9763889,Stratigraphic sequence,14099,13191,Nor
COUN000356|1622,1622,West Bromwich|COUN000356|D|1622,52.514168,-1.9763889,Stratigraphic sequence,13284,12588,Nor
COUN000356|1623,1623,West Bromwich|COUN000356|E|1623,52.514168,-1.9763889,Stratigraphic sequence,12577,11953,Nor
COUN000356|1624,1624,West Bromwich|COUN000356|F|1624,52.514168,-1.9763889,Stratigraphic sequence,11963,11266,Nor
COUN000356|1625,1625,West Bromwich|COUN000356|G|1625,52.514168,-1.9763889,Stratigraphic sequence,11662,11118,Nor
COUN000356|1626,1626,West Bromwich|COUN000356|H|1626,52.514168,-1.9763889,Stratigraphic sequence,11386,10963,Nor
