,experiment,layer_id,numModules,Perplexity,jaccard
1004,32,12,1,1,1
1005,32,13,1,1,1
1006,32,14,1,1,1
1007,32,15,1,1,1
1008,32,16,2,1.506993066,0.806122449
1009,32,17,1,1,1
1010,32,18,1,1,1
1011,32,19,2,1.302195976,0.894375857
1012,32,20,1,1,1
1013,32,21,2,1.649384888,0.74
1014,32,22,1,1,1
1015,32,23,1,1,1
1016,32,24,1,1,1
1017,32,25,1,1,1
1018,32,26,1,1,1
1019,32,27,1,1,1
1020,32,28,1,1,1
1021,32,29,2,1.302195976,0.894375857
1022,32,30,1,1,1
1023,32,31,1,1,1
1024,32,32,1,1,1
1025,33,1,1,1,1
1026,33,2,3,1.538072083,0.839359504
1027,33,3,1,1,1
1028,33,4,1,1,1
1029,33,5,1,1,1
1030,33,6,1,1,1
1031,33,7,1,1,1
1032,33,8,2,1.432534349,0.839102217
1033,33,9,4,3.995006958,0.253877551
1034,33,10,1,1,1
1035,33,11,1,1,1
